@relation 'AT: poker-hand-training-true-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.577attribute_4-0.511attribute_5+0.393attribute_2+0.264attribute_3+0.263attribute_8... numeric
@attribute -0.678attribute_0+0.441attribute_8-0.34attribute_3+0.277attribute_1+0.253attribute_5... numeric
@attribute 0.562attribute_6+0.515attribute_1-0.441attribute_7-0.327attribute_5-0.289attribute_2... numeric
@attribute '0.677attribute_9-0.432attribute_3-0.313attribute_4+0.31 attribute_2+0.301attribute_6...' numeric
@attribute 0.581attribute_8-0.413attribute_7-0.352attribute_2-0.348attribute_4-0.311attribute_1... numeric
@attribute '0.608attribute_7-0.446attribute_2-0.371attribute_3+0.368attribute_6+0.23 attribute_8...' numeric
@attribute 0.516attribute_6-0.473attribute_1+0.432attribute_3-0.333attribute_0-0.281attribute_9... numeric
@attribute '0.493attribute_9-0.442attribute_5-0.404attribute_0+0.39 attribute_4+0.258attribute_8...' numeric
@attribute -0.506attribute_5-0.447attribute_1-0.434attribute_3-0.377attribute_7-0.355attribute_9... numeric
@attribute -0.484attribute_4-0.445attribute_2-0.441attribute_8-0.414attribute_0-0.35attribute_6... numeric
@attribute attribute_10 {0,1,2,3,4,5,6,7,8,9}

@data
-0.069973,0.519173,-0.660382,-1.971563,-0.30253,0.272197,0.818617,-1.118692,-0.731133,3.234708,9
0.540026,0.219113,-0.180546,-2.126304,-0.514414,0.291715,0.872693,-0.696394,-1.233305,1.287598,9
-0.041545,0.687064,-0.101836,-1.739996,-0.286089,0.210755,0.549337,-1.343541,-1.884044,-0.597345,9
1.497861,-0.747797,0.404816,0.358105,-0.995023,0.710165,-0.195716,1.803219,-1.927201,-2.475999,9
-0.414744,-0.760741,-1.513776,0.35244,0.837904,0.089929,1.526803,0.74215,-2.18046,-2.475804,9
-0.383465,-0.195665,-0.17062,0.280789,0.52667,-0.390892,0.135649,-0.029598,2.53977,2.385161,8
0.158841,-0.374334,-0.323292,0.137901,0.126358,-0.435866,0.047374,0.874732,-1.359635,3.513327,8
-0.23781,-0.171575,-0.28811,0.494032,0.184189,0.229659,0.118682,0.063528,2.596204,0.341434,8
-0.450266,0.044728,-0.462589,0.498179,0.27773,0.106797,0.12857,-0.048065,-0.29575,-0.917751,8
0.006185,-0.400291,0.02128,0.573036,0.295409,0.188985,0.340842,0.24683,1.485742,-3.511706,8
-1.502544,0.962093,-1.418532,-0.300261,0.001705,-0.232609,0.038055,-0.151736,2.245342,0.760613,1
-2.008947,1.523969,-0.7346,0.304386,1.010246,-0.10096,-1.31634,0.231501,0.07557,-0.662854,0
1.998934,1.369824,0.547142,0.566893,0.137512,-1.808174,-0.758091,0.125205,1.34952,0.576632,0
-0.698999,0.5259,0.577808,0.229761,-1.313113,-0.611046,-2.639597,0.820901,0.513081,0.445315,0
0.167182,0.240722,0.917651,-0.782778,0.396862,-1.131878,1.359286,-1.136753,-0.523229,-1.845614,1
1.442295,1.168092,-0.557566,1.810934,1.345601,-1.101192,0.324402,1.227336,0.630325,0.082589,0
0.091412,1.111258,0.771029,0.001165,0.707034,1.512217,0.419606,-0.139573,2.58139,0.838524,4
0.629288,-0.938259,0.086977,-1.136203,-0.589531,-0.946013,0.843452,-1.212228,0.007072,0.486935,0
-0.704566,-1.237741,1.255951,-0.378168,1.705744,-0.328316,-1.20959,1.233625,-0.84558,-1.298071,0
-0.778835,0.235728,-1.750603,-2.171525,-0.446371,0.638396,-0.50355,-0.352336,-0.405706,-0.22643,1
1.310224,1.528396,0.011011,0.928843,-0.767975,-0.77762,-0.519555,0.968865,-1.52677,0.691281,1
0.238212,0.499497,-0.670623,-0.168038,1.611321,-0.718138,-0.280695,-0.58561,0.183831,1.32205,0
-0.145735,-0.520527,0.484782,-1.241307,0.364947,-1.470159,-1.563363,0.721687,0.042468,-0.441984,1
0.355189,0.13432,-1.867837,-2.403393,0.460902,-0.56905,1.009809,1.189946,0.577003,-1.024683,1
0.149728,-0.002825,1.503162,1.410544,0.940866,-0.831009,-0.274519,-0.107321,-0.503363,1.244908,1
-0.8945,0.848957,1.885863,-1.338187,-0.804205,1.410045,-0.427312,0.311865,-0.137715,-0.553973,1
-0.751993,-1.191063,-0.880961,-0.577196,-0.592953,2.14594,1.341376,-0.710008,1.034584,0.865607,1
-1.618347,0.599452,-0.278095,-1.110465,-0.348855,-0.410569,-0.796434,0.84946,0.83512,1.102138,1
0.317189,0.691373,-0.702632,-0.743949,1.429847,-0.414603,0.019561,-1.03426,-0.559383,-0.568431,0
-1.140624,0.928574,1.220609,1.247002,0.537613,1.349803,-0.181265,-1.324296,-0.251255,1.321774,0
-1.171695,-0.092127,0.340593,0.027499,-1.035204,0.393741,-0.940241,0.247514,-2.216375,0.054664,3
-1.030781,-0.943727,-1.995679,0.320366,0.924816,0.722189,-0.231467,0.053328,-1.088375,-0.27369,0
0.076479,0.797145,2.404893,-0.32226,-0.372771,-0.179969,1.279128,-1.487931,0.97458,1.196775,0
0.088626,-0.67556,-1.504291,1.232224,-1.968136,0.157214,-0.006524,0.138127,0.376636,-0.205677,0
-1.674121,-0.901684,0.577321,1.247617,1.592892,0.423005,0.685932,-0.385813,0.153837,0.278412,0
-1.420147,-0.060181,-0.82636,-0.087605,-2.205317,0.906697,0.779771,-2.194629,-0.977401,-1.513883,0
-0.166229,-0.219932,0.275957,-0.819441,-1.536141,-1.925752,0.602454,-0.217125,1.587921,-0.844213,1
-0.546562,-0.709462,0.668073,-1.682166,0.033643,-0.306094,-2.075107,-1.418575,0.198132,0.394093,1
-1.039075,1.120984,0.724705,-1.504601,0.574076,0.447529,0.766817,0.139084,-1.117922,-1.200418,0
1.752723,-0.581475,1.378487,0.917031,0.416191,-1.782529,-0.24694,0.732628,-0.067252,1.018319,1
0.997477,-0.326079,0.175482,-1.591781,1.101782,-1.168552,0.196322,0.363595,1.437088,0.416607,1
1.178898,1.320744,-1.358835,0.249124,-0.295105,0.924396,-1.30627,0.648948,0.312191,0.194026,1
