@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R52-53,56,7,21,55,16,24,57,25,23,27,5,19,26,3,11,17,2,8,6,20,10,9,18,12,54,30,58'

@attribute attribute_51 numeric
@attribute attribute_52 numeric
@attribute attribute_55 numeric
@attribute attribute_6 numeric
@attribute attribute_20 numeric
@attribute attribute_54 numeric
@attribute attribute_15 numeric
@attribute attribute_23 numeric
@attribute attribute_56 numeric
@attribute attribute_24 numeric
@attribute attribute_22 numeric
@attribute attribute_26 numeric
@attribute attribute_4 numeric
@attribute attribute_18 numeric
@attribute attribute_25 numeric
@attribute attribute_2 numeric
@attribute attribute_10 numeric
@attribute attribute_16 numeric
@attribute attribute_1 numeric
@attribute attribute_7 numeric
@attribute attribute_5 numeric
@attribute attribute_19 numeric
@attribute attribute_9 numeric
@attribute attribute_8 numeric
@attribute attribute_17 numeric
@attribute attribute_11 numeric
@attribute attribute_53 numeric
@attribute attribute_29 numeric
@attribute attribute_57 {0,1}

@data
0.778,0,61,0,0.96,3.756,0.32,0,278,0,0,0,0.32,1.93,0,0.64,0,0,0.64,0,0,0,0,0,1.29,0.64,0,0,1
0.372,0.18,101,0.21,1.59,5.114,0.14,0.43,1028,0,0.43,0,0.14,3.47,0,0.5,0.21,0.07,0.28,0.07,0.28,0,0.94,0,0.28,0.79,0.048,0,1
0.276,0.184,485,0.19,0.51,9.821,0.06,0.06,2259,0,1.16,0,1.23,1.36,0,0.71,0.38,0.06,0,0.12,0.19,0.32,0.25,0.64,1.03,0.45,0.01,0,1
0.137,0,40,0.31,0.31,3.537,0.31,0,191,0,0,0,0.63,3.18,0,0,0.31,0,0,0.63,0,0,0.63,0.31,0,0.31,0,0,1
0.135,0,40,0.31,0.31,3.537,0.31,0,191,0,0,0,0.63,3.18,0,0,0.31,0,0,0.63,0,0,0.63,0.31,0,0.31,0,0,1
0,0,15,0,0,3,0,0,54,0,0,0,1.85,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,1
0.164,0.054,4,0,0.64,1.671,0.96,0,112,0,0,0,1.92,3.85,0,0,0.96,0,0,0,0,0,0.64,0,0.32,1.28,0,0,1
0,0,11,0,0,2.45,0,0,49,0,0,0,1.88,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,1
0.181,0.203,445,0.3,2,9.744,0,0.15,1257,0,0,0,0.61,1.23,0,0.46,0.76,0,0,0,0,3.53,0.76,0.92,0.15,0.92,0.022,0,1
0.244,0.081,43,0.38,0.71,1.729,0,0,749,0,0.19,0,0.19,1.67,0,0.77,0,0,0.12,0,0.32,0.06,0,0.06,0.12,0.64,0,0,1
0.462,0,6,0.96,0.96,1.312,0,0,21,0,0,0,0,3.84,0,0,0.96,0,0,0,0,0,1.92,0,0.96,0,0,0,1
0.663,0,11,0.25,0.77,1.243,0,0,184,0,0,0,0.38,1.16,0,0.25,0.12,0,0,0,0.25,0,0,0,0,0.12,0,0,1
0.786,0,61,0,1.04,3.728,0.34,0,261,0,0,0,0.34,2.09,0,0.34,0,0,0.69,0,0,0,0,0,1.39,0.69,0,0,1
0,0,7,0.9,0.9,2.083,0,0,25,0,0,0,0.9,2.72,0,0,0.9,0,0,0,0,0,0.9,0,0,0,0,0,1
0.357,0,24,0,2.85,1.971,5.35,0,205,0,0.35,0,0.71,3.21,0,1.42,0,0,0,0.35,0.35,0,0.71,0,0,0.35,0,0,1
0.572,0.063,55,0.42,1.27,5.659,1.27,0.42,249,0,0,0,1.27,1.7,0,0.42,0,0,0.42,0,0,0.42,1.27,0,0,0,0,0,1
0.428,0,31,0,2.83,4.652,0,0,107,0,0,0,0.94,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.975,0.37,95,0,2.11,35.461,0,0,461,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.455,0,4,0.18,0.92,1.32,0,0,70,0,0,0,1.11,3.15,0,0.55,0,0.37,0,0,0,0,0,0,0.37,0,0,0,1
0.055,0.496,91,0,1.91,3.509,0.63,0.63,186,0,0.31,0,1.59,2.22,0,0,0,0.31,0.63,0,0.31,0,0,0.31,3.18,0.63,0,0,1
0.729,0,9,0,0,3.833,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.25,0.046,66,0.15,1.57,2.569,0,0,2259,0,0.05,0,0.76,2.09,0,0.1,0.1,0.02,0.07,0.02,0.05,0.1,0,0.55,0.13,0.47,0.059,0,1
0.809,0,12,0,0,4.857,2.94,0,34,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.667,0,5,0,1.75,1.131,1.16,0,69,0,0,0,1.16,1.16,0,0,0,0,0,0,0,0,0,0,1.16,0.58,0,0,1
0.392,0.196,22,0,0,5.466,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.25,0.046,66,0.15,1.57,2.565,0,0,2258,0,0.05,0,0.76,2.09,0,0.1,0.1,0.02,0.07,0.02,0.05,0.1,0,0.55,0.13,0.47,0.059,0,1
0.392,0.196,22,0,0,5.466,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.368,0,12,1.66,0,2.611,0,3.33,47,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.352,0,11,0,0,4,3.33,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.091,0,66,0.65,1.3,2.687,0.65,0.65,129,0,0,0,0.65,1.3,0,0,0.65,1.3,0,0,0,5.22,0,0,0,0.65,0,0,1
0.886,0,10,0,0,1.966,0,0,59,0,0,0,0,3.52,0,0,0,1.17,0,0,0,0,0,0,0,1.17,0,0,1
2.112,0,11,0,0,3.909,3.03,0,43,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.091,11,0,2.7,1.39,0.27,0.27,89,0,0,0,1.89,3.51,0,0,0,0,0,0,0.27,0,0,0,0,0.81,0,0,1
0,0.302,5,0,0,1.7,0,0,17,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,1
0,0,30,0,0.68,3.826,0,0,264,0.68,0,0,0,2.04,0,0,1.36,0,0.68,0,0,0,0.68,0,0,0,0,0,1
1.543,0,6,0,0,2.777,0,0,25,0,0,0,0,5.12,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,1
0.873,0,12,0,0,4.142,2.94,0,29,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.488,0.244,78,0.48,2.43,5.431,0.48,0,239,0,0.48,0,1.46,2.43,0,0.48,0,0.97,0,0,0,0,0,0,0,0.97,0,0,1
0.963,0,61,0,0.97,3.1,0.48,0,186,0,0,0,0.48,1.46,0,0.48,0,0,0.48,0,0,0,0,0,0.97,0.97,0,0,1
0.75,0,121,0,1.25,3.851,0.41,0,285,0,0,0,0.41,2.08,0,1.66,0,0,0.41,0,0,0,0,0,0.83,0.41,0,0,1
0.207,0.207,30,0,0.61,2.132,0,0.61,226,0,0.3,0,0.61,2.76,0,0,0,0,0,2.45,0.92,0,0,0,0.3,0.3,0,0,1
0.671,0,12,0,0,4,2.94,0,28,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.711,0,12,0,0,4,2.94,0,28,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.426,0,4,0.18,0.92,1.283,0,0,68,0,0,0,1.11,3.15,0,0.55,0,0.37,0,0,0,0,0,0,0.37,0.18,0,0,1
0.813,0.036,38,0.26,0.26,2.145,0.26,0,339,0,0,0,0.52,1.82,0,0,0.26,1.56,0,0.52,0,2.08,0.26,0,0.26,0.52,0.147,0,1
1.318,0.068,130,0,1.51,5.301,0,0.3,774,0,0,0,0.45,4.07,0,1.05,0,0,0.45,1.81,0,0,0.75,0.6,0,0.9,0,0,1
0.01,0.167,12,0.06,1.09,1.733,0,0.06,442,0,0.84,0,1.57,4.54,0,0.18,0.06,0.72,0,0.06,0.36,0.24,0.12,0.06,0.06,0.54,0,0,1
0.17,0,8,0,1.99,1.468,4.97,0,94,0,0.49,0,0,3.48,0,0.99,0.99,0.99,0,0,0.99,0,0.99,0,0,2.48,0,0,1
0.325,0.756,193,0.05,1.46,5.891,0.25,0.36,3040,0,1.05,0,0.05,3.22,0,0.46,0.25,0.43,0.3,0.28,0.12,0,0.74,0.43,0.02,0.97,0.153,0,1
0.278,0.23,40,0.06,0.66,3.887,0.26,0.26,898,0,0.19,0,0,3.51,0,0.26,0.39,0,0.46,0.33,0.33,0,1.12,0,0.26,0.73,0.084,0,1
0,0,12,0,3.84,2.75,0,0,33,0,0,0,1.92,1.92,0,0,0,0,1.92,0,0,0,0,0,0,1.92,0,0,1
0.498,0.332,30,0.73,2.19,3.254,1.09,0,179,0,1.83,0,0,2.19,0,1.09,0,0.36,0.36,1.09,0.73,2.19,0.36,0.36,0.36,0.36,0,0,1
0.244,0.071,43,0.38,0.7,1.732,0,0,750,0,0.19,0,0.19,1.67,0,0.77,0,0,0.12,0,0.32,0.06,0,0.06,0.12,0.64,0,0,1
0.198,0.596,17,0,1.26,3.833,0,1.26,69,0,0,0,0,0,0,0,0,0,1.26,0,1.26,0,0,0,0,1.26,0,0,1
